Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.12234497010483507,0.3725094493917935
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.3815005918041603,0.05717350402487963
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.630045409132837,0.02496081623142901
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.9159822831539506,0.6149364823216582
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.10998427967838119,0.4218869171215252
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,313.25301205,0.44921300000000003,0.29725069505504487,0.33828563497707137
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,313.52282514999996,0.16021000000000002,0.07701808179932086,0.5192679495704334
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,323.41181696999996,1.1558460000000002,1.4448795519587572,0.2500623369884543
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,273.17073170699996,0.09000000000000001,0.03899621053702499,0.5667087718108335
DMC,0.666538647,EC,0.333269323,LiTDI,0.001000226,263.10083123,0.0217,0.0064377314406671654,0.7033303483563519
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,273.478587528,0.24318,0.15103232951247594,0.37892783324090823
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,1.183731210808726,0.20129535012287242
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.21620976081677842,0.38477672609920405
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,283.26848249,0.106852,0.04708708460259694,0.5593242559559303
